Feature,Importance
BWI_normalized,0.5651002853762876
BBI_log,0.17903566271541774
SPI_log,0.16871198965315543
SR_log,0.041294701527565134
BA_log,0.018394335955292843
BP_normalized,0.01288974233648024
Econ_normalized,0.007965212616958935
DBP_normalized,0.0066080698188419815
BWI_normalized,0.553253851137154
SPI_log,0.18198138640501657
BBI_log,0.1737760867083669
SR_log,0.04214766263421731
BP_normalized,0.017920404231879756
BA_log,0.017030888505873944
Econ_normalized,0.008004735415547132
DBP_normalized,0.0058849849619443464
